delete,AGE 1,CO2,CO2 Anagnostou,Zachos,Hansen,gcl,epi area,stom dens,gmax,SI,loggcl,log epi area,log stom dens,log gmax,log SI
0,34,880,745.8711158,2.311,4.981,23.2,,152,0.032009886,,1.365487985,,2.181843588,-1.494715873,
0,34,880,745.8711158,2.311,4.981,28.2,497.29,152,0.038908568,7.917373163,1.450249108,2.696609726,2.181843588,-1.409954749,0.898581115
0,40,820,694.5777259,1.339,7.375,23.1,,,,,1.36361198,,,,
0,40,820,694.5777259,1.339,7.375,22.3,243.36,306,0.06194109,8.074202354,1.348304863,2.386249197,2.485721426,-1.208021156,0.907099629
0,40,820,694.5777259,1.339,7.375,24.9,506.25,217,0.049046908,11.26367929,1.396199347,2.704365036,2.336459734,-1.309388364,1.051680276
0,40,820,694.5777259,1.339,7.375,18.6,,,,,1.269512944,,,,
0,40,820,694.5777259,1.339,7.375,25,,,,,1.397940009,,,,
0,40,820,694.5777259,1.339,7.375,27.4,529,281,0.069889098,15.85275762,1.437750563,2.723455672,2.44870632,-1.155590563,1.20010482
0,40,820,694.5777259,1.339,7.375,19.9,,,,,1.298853076,,,,
0,40,820,694.5777259,1.339,7.375,26.9,368.64,197,0.048102878,7.80823045,1.42975228,2.566602457,2.294466226,-1.317828939,0.892552622
0,40,820,694.5777259,1.339,7.375,23.9,1176.49,121,0.026250394,13.26408246,1.378397901,3.07058824,2.08278537,-1.580864174,1.122677213
0,40,820,694.5777259,1.339,7.375,25.2,590.49,178,0.040716749,10.59473721,1.401400541,2.771212547,2.250420002,-1.390226902,1.025090189
0,40,820,694.5777259,1.339,7.375,27.1,630.01,238,0.058546212,15.3762959,1.432969291,2.799347443,2.376576957,-1.232501198,1.186851728
0,40,820,694.5777259,1.339,7.375,23.7,272.25,141,0.030333325,4.002052943,1.374748346,2.434967888,2.149219113,-1.518079987,0.60228283
0,40,820,694.5777259,1.339,7.375,53,3047.04,46,0.022130247,13.86456919,1.72427587,3.483878155,1.662757832,-1.655013744,1.141906379
0,40,820,694.5777259,1.339,7.375,27.9,650.25,107,0.027098206,7.054413012,1.445604203,2.813080361,2.029383778,-1.567059464,0.848460883
0,40,820,694.5777259,1.339,7.375,27.9,852.64,37,0.009370408,3.14612713,1.445604203,2.930765703,1.568201724,-2.028241518,0.497776268
0,40,820,694.5777259,1.339,7.375,26.7,380.25,528,0.127966926,24.35471387,1.426511261,2.580069223,2.722633923,-0.892902262,1.386583032
0,40,820,694.5777259,1.339,7.375,26.6,1747.24,70,0.016901772,11.40094648,1.424881637,3.242352564,1.84509804,-1.772067769,1.056940907
0,40,820,694.5777259,1.339,7.375,27.8,552.25,174,0.043908298,9.992696263,1.444044796,2.742135725,2.240549248,-1.357453401,0.999682687
0,40,820,694.5777259,1.339,7.375,30.7,361,157,0.043751262,6.237110312,1.487138375,2.557507202,2.195899652,-1.359009418,0.794983425
0,40,820,694.5777259,1.339,7.375,24.6,196,446,0.099591557,10.69289719,1.390935107,2.292256071,2.649334859,-1.00177748,1.029095391
0,43,950,799.0193405,0.927,8.232,20.6,,356,0.066568654,,1.31386722,,2.551449998,-1.176730227,
0,43,950,799.0193405,0.927,8.232,15.9,750.76,267,0.038535495,17.69296537,1.201397124,2.875501126,2.426511261,-1.41413906,1.247800627
0,43,950,799.0193405,0.927,8.232,19.8,,,,,1.29666519,,,,
0,43,950,799.0193405,0.927,8.232,24.2,272.25,355,0.077982342,10.87472576,1.383815366,2.434967888,2.550228353,-1.108003726,1.036418314
0,43,950,799.0193405,0.927,8.232,20.4,225,327,0.060552276,7.84807802,1.309630167,2.352182518,2.514547753,-1.217869525,0.894763312
0,43,950,799.0193405,0.927,8.232,27.7,756.25,157,0.039475894,11.89374018,1.442479769,2.878665388,2.195899652,-1.403668024,1.075318447
0,43,950,799.0193405,0.927,8.232,30.1,846.81,125,0.034153016,10.66403889,1.478566496,2.927785978,2.096910013,-1.466570937,1.02792172
0,45,1040,948.8483128,0.721,8.491,21.7,,356,0.07012329,,1.336459734,,2.551449998,-1.154137714,
0,45,1040,948.8483128,0.721,8.491,21.6,364.81,351,0.068819803,13.27908351,1.334453751,2.562066734,2.545307116,-1.162286578,1.123168102
0,45,1040,948.8483128,0.721,8.491,21,,307,0.058520796,,1.322219295,,2.487138375,-1.232689775,
0,45,1040,948.8483128,0.721,8.491,25.1,184.96,333,0.075870074,7.230781792,1.399673721,2.267077817,2.522444234,-1.11992949,0.859185256
0,45,1040,948.8483128,0.721,8.491,27.1,,,,,1.432969291,,,,
0,45,1040,948.8483128,0.721,8.491,30.5,547.56,32,0.00885936,1.773915511,1.484299839,2.738431715,1.505149978,-2.052597628,0.248932931
0,45,1040,948.8483128,0.721,8.491,39.8,676,112,0.040462587,8.428369192,1.599883072,2.829946696,2.049218023,-1.392946351,0.925743551
0,45,1040,948.8483128,0.721,8.491,22.9,,,,,1.359835482,,,,
